Grid,Cytokine,Global_Min,Global_Max,Time_Avg_Sparsity_Pct
100,IL8,0.0000e+00,1.8295e-06,0.1566
100,IL1,0.0000e+00,4.9422e-07,2.7845
100,IL6,0.0000e+00,1.4946e-07,5.7478
100,IL10,0.0000e+00,3.0133e-08,8.4958
100,TNF,0.0000e+00,6.2007e-07,4.141
100,TGF,0.0000e+00,1.9736e-06,5.375
250,IL8,0.0000e+00,7.6127e-08,0.4777
250,IL1,0.0000e+00,2.3482e-08,5.1525
250,IL6,0.0000e+00,2.3616e-08,9.0996
250,IL10,0.0000e+00,5.3536e-09,12.7903
250,TNF,0.0000e+00,4.6054e-08,7.3341
250,TGF,0.0000e+00,3.4306e-08,7.5878
500,IL8,0.0000e+00,7.7514e-09,0.7192
500,IL1,0.0000e+00,2.7111e-09,9.3214
500,IL6,0.0000e+00,3.6091e-09,14.0169
500,IL10,0.0000e+00,1.0131e-09,23.2417
500,TNF,0.0000e+00,8.0507e-09,13.8633
500,TGF,0.0000e+00,5.4136e-09,10.8004
50,IL8,0.0000e+00,1.4930e-05,0.1279
50,IL1,0.0000e+00,4.0444e-06,3.5794
50,IL6,0.0000e+00,8.0545e-07,7.4749
50,IL10,0.0000e+00,1.4561e-07,9.4356
50,TNF,0.0000e+00,4.9366e-06,4.6665
50,TGF,0.0000e+00,7.0688e-06,6.6606
